danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album,disc_number,name,popularity,preview_url,track_number,uri,playlist_id,playlist,artist,artists_id,album_id
0.616,0.118,9,-22.115,0,0.949,0.56,0.0,0.0598,0.373,64.891,6Dopq1sUddYgcnJLC0pqZq,641160,4,Pohádky O Skřítku Racochejlovi,1,Jak Racochejl Zaplácl Hřiba,26,https://p.scdn.co/mp3-preview/f30cb34e36fe2a957d474f1583cbc89e5b9e977e?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:6Dopq1sUddYgcnJLC0pqZq,5T54YmcS3PsSghWrqivfms,Speechiness,Jiřina Bohdalová,1ndpQw8Kn3ZO4WuU1wu23Y,1pqjSCQCTWi7h5MUo076GY
0.693,0.301,1,-11.145,1,0.949,0.939,0.0,0.123,0.596,90.606,5tTvGc18CCgyDrye65PAGP,306227,4,The Strangest Secret: How To Achieve Greater Success & Happiness,1,We Become What We Think About,31,https://p.scdn.co/mp3-preview/4abc3356b7ea5055928e3154c8d3fa943cc53aaf?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:5tTvGc18CCgyDrye65PAGP,5T54YmcS3PsSghWrqivfms,Speechiness,Earl Nightingale,4gyPmRdEnJ6GVibKuQekoF,0bg1C7BwYZq5vXFpJOhZFM
0.511,0.871,11,-8.299,1,0.924,0.789,0.0,0.689,0.344,103.325,3rLl99SGyzRtFKYzbUVB7d,197587,3,Touché,1,Deals,6,,3,spotify:track:3rLl99SGyzRtFKYzbUVB7d,5T54YmcS3PsSghWrqivfms,Speechiness,Ryan Stout,3rYH0eT8EkSbxGNkcaJEzW,4twDptGHkg7a9CHqd6E1DC
0.704,0.36,6,-16.6,1,0.901,0.849,0.0,0.727,0.542,110.244,1bZ6l7iUCGqnGKgBKQkAna,237387,5,The Presidential Years,1,Space Exploration Speech At Rice University,14,https://p.scdn.co/mp3-preview/95564e84378031f20e315b41b4254729c4638aa8?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:1bZ6l7iUCGqnGKgBKQkAna,5T54YmcS3PsSghWrqivfms,Speechiness,John F. Kennedy,76NiAsCnFL6eHb04zphoH6,672C3Sr2j4esWpmFYyP43C
0.654,0.417,6,-20.251,1,0.926,0.968,2e-05,0.874,0.565,136.059,7dpZdOauEbKTGgO9bGqNqu,292326,5,O Peru da Festa (Ao Vivo),1,Morreu uma Bichinha (Ao Vivo),18,https://p.scdn.co/mp3-preview/6c2073301543b24c81bc3fb5546fcf19962eaf19?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:7dpZdOauEbKTGgO9bGqNqu,5T54YmcS3PsSghWrqivfms,Speechiness,Costinha,5h49asgiKDU05wAnUGLZhk,2uKgWeeRHMZo9fahMWZwRG
0.724,0.765,10,-11.695,0,0.76,0.942,0.0,0.687,0.551,113.689,35oG2mXpx36bJga5h7NJbE,223867,4,Terrorizing Telemarketers 4,1,"No, No",18,https://p.scdn.co/mp3-preview/d7f5faf77988405ffbba854f42d5cdf6f1b76797?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:35oG2mXpx36bJga5h7NJbE,5T54YmcS3PsSghWrqivfms,Speechiness,Jim Florentine,0dCcYHqcOo9RUTDP3U4zSu,792rLP82cmyUrI0WDFljBO
0.655,0.369,7,-19.232,0,0.947,0.784,0.0,0.0741,0.302,83.843,3gukwoH9qNORGwcIE3rRYV,1346067,3,五街道雲助7「臆病源兵衛」「芝浜」-「朝日名人会」ライヴシリーズ78,1,臆病源兵衛,15,https://p.scdn.co/mp3-preview/aef11a13b1d7a8c0126251cb773d6938d0f3386e?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:3gukwoH9qNORGwcIE3rRYV,5T54YmcS3PsSghWrqivfms,Speechiness,Kumosuke Gokaido,14RlHgE4FkzxXG9ijJudnc,6WeTojz22WQKT4zliE2Dms
0.684,0.311,0,-18.303,1,0.935,0.4,0.0,0.0883,0.567,113.85,1JqJXxM3rcWIlLPilL8Y4J,444278,4,Die Säulen der Erde (Ungekürzt),1,"Die Säulen der Erde, Kapitel 1",0,,1,spotify:track:1JqJXxM3rcWIlLPilL8Y4J,5T54YmcS3PsSghWrqivfms,Speechiness,Ken Follett,0I5CMdNszqP3qJTmhGxlsA AND 0RD9TMN3xp2N143QRiLUjx,2oM8cIQReXR3qsYpXlflyS
0.689,0.352,1,-13.373,1,0.944,0.667,0.0,0.372,0.545,85.469,4JEjvNlC9aOwHSytgtAR57,303653,4,I Saw Myself,1,Just a Little Girl,0,https://p.scdn.co/mp3-preview/774e977ebfb666254e2f8ab1ed1112a62653ca0b?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:4JEjvNlC9aOwHSytgtAR57,5T54YmcS3PsSghWrqivfms,Speechiness,Rhonda Welsh,2VmMNTy51THbMXLby7LZbJ,7puSA103qjj9hCVBum6wGm
0.682,0.358,8,-15.943,1,0.945,0.989,5.6e-06,0.921,0.511,142.552,4T1nZgrsJngvZuRf1wRavk,407507,3,Comic Monologue By Liu Baorui Vol. 1,1,Battle In Yunnan,5,https://p.scdn.co/mp3-preview/d355c8c3668785d08fb382114a7056ed9eb2d37c?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:4T1nZgrsJngvZuRf1wRavk,5T54YmcS3PsSghWrqivfms,Speechiness,Liu Baorui,5kB2GP8h3u6cQj1KQ62uul,4DnR1l4Xb4OxQyfeNWStrZ
0.539,0.298,3,-20.552,1,0.948,0.935,0.0,0.312,0.415,74.26,2J5NSM3ICNx2eW04OOm8Cr,1186012,3,"Yours Truly, Johnny Dollar - Old Time Radio Show, Vol. Two",1,1957-09-08 - Episode 553 - Charmona Matter,11,https://p.scdn.co/mp3-preview/2575234bfcd16d5c031ca1056bb30f7d8cf12286?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:2J5NSM3ICNx2eW04OOm8Cr,5T54YmcS3PsSghWrqivfms,Speechiness,Bob Bailey,6f3M8X0DDJPcdvwMLoyIas,5YX08ylCGiACb0bn9GpX0K
0.614,0.783,8,-8.792,1,0.944,0.856,0.0,0.484,0.64,79.855,4ZlVQqDMsUGtr8b1382ixr,163427,3,Urbanus Zelf! (Live),1,Twee Schapen En Een Plank - Live,19,https://p.scdn.co/mp3-preview/eb4ddf9ad45d9a9616b654e563a1b56c4267e612?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:4ZlVQqDMsUGtr8b1382ixr,5T54YmcS3PsSghWrqivfms,Speechiness,Urbanus,3dQcvQPQXcOkCSmBTEZqXL,60A1SEZ2gDJf7vFueA1yv6
0.625,0.832,6,-6.294,1,0.105,0.656,0.0318,0.0979,0.725,146.092,2iRy66b9oGfv2hg48EeaTt,399733,4,Your Queen Is A Reptile,1,My Queen Is Ada Eastman,41,https://p.scdn.co/mp3-preview/6db3ededd6155be72b2e2c2cd608cbcb6e769ce4?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:2iRy66b9oGfv2hg48EeaTt,7460eJSzkWMB3VQ2xzACiV,Etno,Sons Of Kemet,3pvRbmrqOyFxB2Eext4Dki AND 3PubLnxnO5N2Avr3UvG1Vc,4pxnDGBdoGu88h8ZInX5f5
0.676,0.769,7,-10.142,1,0.0535,0.00545,0.0256,0.131,0.891,117.733,5HrxlXl6yE5PWxFkNyUOz7,306360,4,Cymande,1,Bra,33,,7,spotify:track:5HrxlXl6yE5PWxFkNyUOz7,7460eJSzkWMB3VQ2xzACiV,Etno,Cymande,4hfcSstwnyuBoek1dQwLkG,2s0y5BFQpUv5YiXsezn4rL
0.613,0.218,7,-18.486,1,0.0366,0.795,0.886,0.111,0.635,82.371,3YT2vdLbvfcjfCiNR4DsKT,157187,4,Afro-Harping,1,Come Live With Me,54,https://p.scdn.co/mp3-preview/d9f7c4619e141b2b78b3aff35c64a810be0292bf?cid=774b29d4f13844c495f206cafdad9c86,9,spotify:track:3YT2vdLbvfcjfCiNR4DsKT,7460eJSzkWMB3VQ2xzACiV,Etno,Dorothy Ashby,0dAZ2slrElfR0Y5flcoSPt,1XEPKavl3nlI2qVt8HuA5n
0.678,0.905,7,-5.526,0,0.0784,0.0568,0.0239,0.24,0.898,90.092,6YPwVMy9U1zFC1KjkyP61j,243787,4,Nova Tunes 3.1,1,Go Back,52,https://p.scdn.co/mp3-preview/266f43ba958833f9d28f1d7b56ab32476eaa2ac7?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:6YPwVMy9U1zFC1KjkyP61j,7460eJSzkWMB3VQ2xzACiV,Etno,Tony Allen,6JpZEemWmunccsrHXFUOgi AND 0O98jlCaPzvsoei6U5jfEL,7oJgqiEy4Xqz99uz6gjDs7
0.532,0.606,5,-9.943,0,0.0455,0.0351,0.624,0.696,0.553,129.073,117qkeqGMMikdtm38lJD8p,584479,4,JazznewbloodALIVE (Live at Iklectik/Efg London Jazz Festival 2016),1,Colonial Mentality - Live,37,https://p.scdn.co/mp3-preview/e9ebf3d55a7a6bf4236e6115bc88773571b47854?cid=774b29d4f13844c495f206cafdad9c86,9,spotify:track:117qkeqGMMikdtm38lJD8p,7460eJSzkWMB3VQ2xzACiV,Etno,Kokoroko,3u9rbdcmA6CxjxOAkjaeFr AND 6213qnwAKa0wEJBVXxfOdC AND 1wFycxb8274ZQrjRa3GVxu AND 3ibe0QPyXamL3St3VBBxJT AND 7n0h30k6eLlwjR3sK0wvth AND 3Y5T6112XszeEZknNoIn6l AND 68FrEa9EGXWxnLvMtZIqoV AND 79bQnsHQLiPkCxKoi7zu0f,6bDQC7CqpashYevSKaSXDE
0.851,0.606,1,-9.982,1,0.0412,0.107,0.3,0.08,0.658,119.236,6W5Y6TSovS7gxOy6CfB9eA,260160,4,Second Time Round,1,Crawshay,20,,8,spotify:track:6W5Y6TSovS7gxOy6CfB9eA,7460eJSzkWMB3VQ2xzACiV,Etno,Cymande,4hfcSstwnyuBoek1dQwLkG,0hFaaiuOJMWvpdauMUQwr9
0.839,0.233,3,-13.539,1,0.0414,0.745,0.746,0.105,0.778,125.597,7k3YrlUP1DxGe802jjuT1L,194293,4,New York - Addis - London: The Story of Ethio Jazz 1965-1975,1,Yègellé Tezeta,0,,6,spotify:track:7k3YrlUP1DxGe802jjuT1L,7460eJSzkWMB3VQ2xzACiV,Etno,Mulatu Astatke,7HGFXtBhRq3g1Ma3nH4Rgv,1YaUAkNsLKXtJfb0FVZcyu
0.713,0.347,8,-11.871,0,0.0576,0.838,0.937,0.111,0.372,84.007,7vfILe0geNdQ7ilJYF45SU,424080,4,KOKOROKO,1,Abusey Junction,0,,4,spotify:track:7vfILe0geNdQ7ilJYF45SU,7460eJSzkWMB3VQ2xzACiV,Etno,Kokoroko,3u9rbdcmA6CxjxOAkjaeFr,7MeDqREJNAU5D80vI2xCol
0.77,0.354,9,-12.028,0,0.0333,0.468,0.893,0.11,0.438,109.879,2c9JplHZlT12VuWcId8Pqb,372387,4,KOKOROKO,1,Ti-de,0,,2,spotify:track:2c9JplHZlT12VuWcId8Pqb,7460eJSzkWMB3VQ2xzACiV,Etno,Kokoroko,3u9rbdcmA6CxjxOAkjaeFr,7MeDqREJNAU5D80vI2xCol
0.629,0.653,4,-12.578,0,0.0448,0.00615,0.734,0.143,0.853,117.13,4zdsBics0asw0gj4L5wu5v,212000,4,Ege Bamyasi (Remastered),1,Vitamin C,62,https://p.scdn.co/mp3-preview/373f641a7766dc972de9810df37f61ccba5dce95?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:4zdsBics0asw0gj4L5wu5v,7460eJSzkWMB3VQ2xzACiV,Etno,CAN,4l8xPGtl6DHR2uvunqrl8r,1MLxE2czxo5A9OVZ2m8FV3
0.533,0.568,4,-8.633,0,0.0364,0.0038,0.827,0.203,0.629,137.644,6muaqhrGvRop2JyxjwWHhX,327253,4,For the first time,1,Instrumental,52,https://p.scdn.co/mp3-preview/6a7bc933bd74a24ccf027492d4d0519cdb306d6c?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:6muaqhrGvRop2JyxjwWHhX,7460eJSzkWMB3VQ2xzACiV,Etno,"Black Country, New Road",3PP6ghmOlDl2jaKaH0avUN,2PfgptDcfJTFtoZIS3AukX
0.469,0.762,1,-10.489,1,0.0837,0.0123,0.00115,0.143,0.568,84.302,49KhCrRQZG2PFikixwpNTi,263853,3,I Am Not a Doctor,1,Sing It Back,53,https://p.scdn.co/mp3-preview/29a28ef64cdc751d01fa014622fcfb2cf2699d01?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:49KhCrRQZG2PFikixwpNTi,7460eJSzkWMB3VQ2xzACiV,Etno,Moloko,4aaBjq7VqqQvpSF69GglvO,1i3E3ENCRZZC726vqMJTLF
0.547,0.356,5,-10.199,0,0.0366,0.954,0.917,0.0891,0.504,81.032,414J8tKHbtF16XOiHGBEso,376640,3,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",1,Tezeta (Nostalgia),62,https://p.scdn.co/mp3-preview/8e8c1304cbbdad837f1ff23c5fa3ec263217410b?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:414J8tKHbtF16XOiHGBEso,7460eJSzkWMB3VQ2xzACiV,Etno,Mulatu Astatke,7HGFXtBhRq3g1Ma3nH4Rgv,5VKvVk4gaPAJyXjof8NnzX
0.866,0.342,7,-8.42,1,0.0527,0.786,0.231,0.178,0.115,125.427,3MYUHaITeEQh3WjMkHr67z,146842,4,"Love Songs, Pt. 1",1,Hey Now - When I Give You All My Lovin',69,https://p.scdn.co/mp3-preview/b740948cba164874c266b41f87b08c1f66380d7b?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:3MYUHaITeEQh3WjMkHr67z,7460eJSzkWMB3VQ2xzACiV,Etno,Romare,6d1HqiWNEKV9zFqQM9WeYo,7A5BaF3RXH4wWmepN8YGRq
0.412,0.728,1,-7.133,1,0.0326,0.00389,0.882,0.159,0.795,129.686,32Rf95ZT8gxisQMK6xAhba,156560,4,Color Him Father,1,Amen Brother,44,https://p.scdn.co/mp3-preview/cdaa786c6cb0b115bfda61b4a6a5ea7982075cf5?cid=774b29d4f13844c495f206cafdad9c86,11,spotify:track:32Rf95ZT8gxisQMK6xAhba,7460eJSzkWMB3VQ2xzACiV,Etno,The Winstons,1VePrTOSgCLcaBecBs7i2q,5Ups4qqJu7BegTd8JoOU4M
0.536,0.647,3,-9.471,1,0.06,0.574,8.24e-06,0.488,0.788,155.325,6aMmz0HbtjJnvUMteBO2kc,164187,4,All Time Greats,1,Soul Bossa Nova,42,https://p.scdn.co/mp3-preview/6dddab61c2fe2366a1e0faaf6df47735485ad713?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:6aMmz0HbtjJnvUMteBO2kc,7460eJSzkWMB3VQ2xzACiV,Etno,Quincy Jones,3rxIQc9kWT6Ueg4BhnOwRK,1loS32IBg96OZjGZlaI1QS
0.397,0.329,4,-12.585,1,0.0278,0.745,0.882,0.189,0.274,96.466,4XSI3iFlpthVzeGVpIx2vH,263392,3,Dreams,1,Half the Day Is the Night - Remastered,40,https://p.scdn.co/mp3-preview/91e860b39f4b503a0a3b6e6b58b169c9daa3b049?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:4XSI3iFlpthVzeGVpIx2vH,2HF1k7XYrLeooG2EYzIYwk,Tunes from my dead memories,Gábor Szabó,38CPjAAqYV8lTYi6clzbjG,5yYe4JhfGHiTIPWs2AuoMJ
0.621,0.807,8,-8.963,0,0.0363,0.07,0.169,0.0737,0.557,118.028,1divptdjcWXvF1aflfTQnw,416566,4,Tourist (Remastered),1,Rose rouge,59,https://p.scdn.co/mp3-preview/2a132c00bc7fe325b5a0ca3c6a3089e29e580b82?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:1divptdjcWXvF1aflfTQnw,2HF1k7XYrLeooG2EYzIYwk,Tunes from my dead memories,St Germain,484sZUYmnRXN84zmk3GY1n,0YqCvOMhp8enM01an9Nntj
0.772,0.451,0,-12.242,1,0.0551,0.501,0.7,0.213,0.558,96.086,1msXkHv84LKikJGKcfdGBu,380498,4,Tourist (Remastered),1,Sure Thing,61,https://p.scdn.co/mp3-preview/eabdb466fb37f1bc7b39edf10b9e9e15183730ce?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:1msXkHv84LKikJGKcfdGBu,2HF1k7XYrLeooG2EYzIYwk,Tunes from my dead memories,St Germain,484sZUYmnRXN84zmk3GY1n,0YqCvOMhp8enM01an9Nntj
0.43,0.508,8,-8.68,1,0.0732,0.247,0.675,0.107,0.0739,85.173,237YZd41xs9GglibyQxVrx,338794,4,Dreams,1,Galatea's Guitar - Remastered,46,https://p.scdn.co/mp3-preview/76332f028d3296c55c0678a4900072c743b8ce6b?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:237YZd41xs9GglibyQxVrx,2HF1k7XYrLeooG2EYzIYwk,Tunes from my dead memories,Gábor Szabó,38CPjAAqYV8lTYi6clzbjG,5yYe4JhfGHiTIPWs2AuoMJ
0.471,0.512,2,-14.173,0,0.0467,0.848,0.914,0.0988,0.491,87.919,1FLOvSMfbnlpmlaYNI6Ogh,321267,4,Dreams,1,The Lady in the Moon,0,,6,spotify:track:1FLOvSMfbnlpmlaYNI6Ogh,2HF1k7XYrLeooG2EYzIYwk,Tunes from my dead memories,Gábor Szabó,38CPjAAqYV8lTYi6clzbjG,1dZ1YNQiR7LRMkrQydwy40
0.389,0.177,0,-13.062,0,0.0304,0.976,0.961,0.162,0.363,172.117,3GZvy4B0ZzMjoDezkiDekS,193067,3,Knee-Deep in the North Sea,1,Pompidou,53,https://p.scdn.co/mp3-preview/8195e1685ca264b40930a909cba4701bd4ad3099?cid=774b29d4f13844c495f206cafdad9c86,9,spotify:track:3GZvy4B0ZzMjoDezkiDekS,2HF1k7XYrLeooG2EYzIYwk,Tunes from my dead memories,Portico Quartet,7sYipTRgDXS2JVOPEhRutx,2A8c5znvmslp2I77dTBV1K
0.451,0.67,1,-11.46,1,0.0559,0.0567,0.847,0.154,0.644,121.062,6GPRv6A2EWzq3ZjizJAIbV,478915,4,Who Sent You?,1,No Más,0,,3,spotify:track:6GPRv6A2EWzq3ZjizJAIbV,7rldaIGrPgeiOVcfeQ5ZjR,WHAT KINDA MUSIC,Irreversible Entanglements,5XqyqoLZXA69lCNyBT3f89,64altPXDNN3HLiKrQ7Nmil
